,index,country,titre,entreprise,salaire,links,green,red
0,9,fr,Business Developer H/F,Lyber,Nope,https://fr.indeed.com/jobs?q=blockchain&jt=internship&fromage=14&vjk=b26b272d2130d174,False,True
1,10,fr,Stage Business Developer IT H/F - Fin d'études / Pré-embauch...,NOVEO Group,Nope,https://fr.indeed.com/jobs?q=blockchain&jt=internship&fromage=14&vjk=bbdb3106ba97ed36,False,True
2,12,fr,Stage - Business Manager H/F,ALAN ALLMAN ASSOCIATES,Nope,https://fr.indeed.com/jobs?q=blockchain&jt=internship&fromage=14&vjk=ab2e73fb849785c1,False,True
3,13,fr,Solveur / Développeur Java - Java EE (F/H) / Pré-embauche,SYMPOSIA,Nope,https://fr.indeed.com/jobs?q=blockchain&jt=internship&fromage=14&vjk=0967d9a729d8f0fc,False,True
4,16,fr,Stage - Business Manager H/F,ALAN ALLMAN ASSOCIATES,Nope,https://fr.indeed.com/jobs?q=blockchain&jt=internship&fromage=14&start=10&vjk=ab2e73fb849785c1,False,True
5,21,fr,Stage Business Developer IT H/F - Fin d'études / Pré-embauch...,NOVEO Group,Nope,https://fr.indeed.com/jobs?q=blockchain&jt=internship&fromage=14&start=20&vjk=bbdb3106ba97ed36,False,True
6,27,fr,Business Developer H/F,Lyber,Nope,https://fr.indeed.com/jobs?q=blockchain&jt=internship&fromage=14&start=20&vjk=b26b272d2130d174,False,True
7,28,fr,Solveur / Développeur Java - Java EE (F/H) / Pré-embauche,SYMPOSIA,Nope,https://fr.indeed.com/jobs?q=blockchain&jt=internship&fromage=14&start=20&vjk=0967d9a729d8f0fc,False,True
8,31,fr,Stage - Business Manager H/F,ALAN ALLMAN ASSOCIATES,Nope,https://fr.indeed.com/jobs?q=blockchain&jt=internship&fromage=14&start=20&vjk=ab2e73fb849785c1,False,True
9,33,de,"Project Management Intern (Internship, all gender)",THIS IS! Digital Media Group,Nope,https://de.indeed.com/jobs?q=blockchain&jt=internship&fromage=14&vjk=caa1ae187523514f,False,True
10,39,de,Executive Marketing Assistant (m/w/d),weeve GmbH,Nope,https://de.indeed.com/jobs?q=blockchain&jt=internship&fromage=14&vjk=0c44eed5405d535c,False,True
11,40,de,tikum - Legal Tech Startup | Sales Development Represent...,PACTA. by BlockAxs GmbH,Nope,https://de.indeed.com/jobs?q=blockchain&jt=internship&fromage=14&vjk=2f0aae913c049c9d,False,True
12,60,ch,Senior Consultant - Financial Services Business Consulting -...,EY,Nope,https://ch.indeed.com/jobs?q=blockchain&jt=internship&fromage=14&vjk=fb263db5e5038773,False,True
13,70,dk,Business Development Analyst - Student Assistant,Januar,Nope,https://dk.indeed.com/jobs?q=blockchain&jt=internship&fromage=14&vjk=11a8856ef868b96a,False,True
